PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2015-02-13T02:00:00Z,2015-02-13T01:00:00Z,PT60M,-4.5,-67,0.0,-5.5,0,0,0,0,7.5,92.8,1.4,1004.9,327,1.6,127,0.23
2015-02-13T03:00:00Z,2015-02-13T02:00:00Z,PT60M,-5.4,-80,0.0,-6.2,0,0,0,0,7.6,93.8,1.4,1004.7,321,1.9,117,0.23
2015-02-13T04:00:00Z,2015-02-13T03:00:00Z,PT60M,-5.8,-91,0.0,-6.5,0,0,0,0,7.7,94.3,1.4,1004.6,323,2.0,107,0.23
2015-02-13T05:00:00Z,2015-02-13T04:00:00Z,PT60M,-5.7,-103,0.0,-6.4,0,0,0,0,7.8,94.4,1.4,1004.7,332,1.9,98,0.23
2015-02-13T06:00:00Z,2015-02-13T05:00:00Z,PT60M,-5.6,-114,3.1,-6.3,16,63,6,22,7.8,94.3,1.4,1004.7,343,1.8,88,0.23
2015-02-13T07:00:00Z,2015-02-13T06:00:00Z,PT60M,-4.3,-126,24.4,-5.4,101,44,7,108,7.9,91.9,1.4,1004.7,352,1.5,80,0.23
2015-02-13T08:00:00Z,2015-02-13T07:00:00Z,PT60M,-1.9,-139,27.4,-3.7,174,93,28,203,7.9,87.3,1.4,1004.7,5,0.9,72,0.23
2015-02-13T09:00:00Z,2015-02-13T08:00:00Z,PT60M,0.5,-153,54.6,-2.0,175,0,0,175,8.0,83.1,1.3,1004.7,45,0.5,67,0.23
2015-02-13T10:00:00Z,2015-02-13T09:00:00Z,PT60M,1.6,-169,65.5,-1.5,154,0,0,154,8.0,79.5,1.3,1004.6,67,0.4,64,0.23
2015-02-13T11:00:00Z,2015-02-13T10:00:00Z,PT60M,1.5,175,65.4,-2.2,159,0,0,159,7.9,76.2,1.2,1004.4,354,0.2,63,0.23
2015-02-13T12:00:00Z,2015-02-13T11:00:00Z,PT60M,1.4,159,67.7,-2.9,135,0,0,135,7.9,73.0,1.2,1004.1,309,0.5,65,0.23
2015-02-13T13:00:00Z,2015-02-13T12:00:00Z,PT60M,1.4,144,68.8,-3.0,101,0,0,101,7.8,72.4,1.2,1004.0,324,0.6,70,0.23
2015-02-13T14:00:00Z,2015-02-13T13:00:00Z,PT60M,1.7,131,38.3,-2.4,116,18,4,120,7.8,74.2,1.1,1003.9,8,0.7,76,0.23
2015-02-13T15:00:00Z,2015-02-13T14:00:00Z,PT60M,2.0,118,12.5,-1.8,47,71,7,54,7.7,76.1,1.1,1003.8,29,1.1,85,0.23
2015-02-13T16:00:00Z,2015-02-13T15:00:00Z,PT60M,1.4,107,0.0,-1.8,1,2,0,1,7.6,79.1,1.1,1003.8,45,1.3,94,0.23
2015-02-13T17:00:00Z,2015-02-13T16:00:00Z,PT60M,-0.1,96,0.0,-2.5,0,0,0,0,7.5,83.5,1.1,1003.9,63,1.4,103,0.23
2015-02-13T18:00:00Z,2015-02-13T17:00:00Z,PT60M,-1.5,84,0.0,-3.2,0,0,0,0,7.4,88.2,1.1,1004.0,78,1.6,113,0.23
2015-02-13T19:00:00Z,2015-02-13T18:00:00Z,PT60M,-2.3,72,0.0,-3.6,0,0,0,0,7.3,91.4,1.1,1003.9,90,1.8,123,0.23
2015-02-13T20:00:00Z,2015-02-13T19:00:00Z,PT60M,-2.6,57,0.0,-3.6,0,0,0,0,7.3,92.7,1.1,1003.8,101,1.8,132,0.23
2015-02-13T21:00:00Z,2015-02-13T20:00:00Z,PT60M,-2.9,39,0.0,-3.7,0,0,0,0,7.2,94.1,1.1,1003.7,112,2.0,139,0.23
2015-02-13T22:00:00Z,2015-02-13T21:00:00Z,PT60M,-3.0,17,0.0,-3.8,0,0,0,0,7.2,94.2,1.1,1003.6,117,2.0,144,0.23
2015-02-13T23:00:00Z,2015-02-13T22:00:00Z,PT60M,-2.8,-7,0.0,-3.8,0,0,0,0,7.2,93.2,1.1,1003.5,119,2.0,144,0.21
2015-02-14T00:00:00Z,2015-02-13T23:00:00Z,PT60M,-2.6,-31,0.0,-3.7,0,0,0,0,7.3,92.1,1.1,1003.4,120,2.0,141,0.21
2015-02-14T01:00:00Z,2015-02-14T00:00:00Z,PT60M,-2.7,-51,0.0,-3.8,0,0,0,0,7.3,92.1,1.1,1003.3,121,1.9,135,0.21
2015-02-14T02:00:00Z,2015-02-14T01:00:00Z,PT60M,-2.9,-66,0.0,-3.9,0,0,0,0,7.2,93.2,1.2,1003.0,121,1.9,126,0.21
2015-02-14T03:00:00Z,2015-02-14T02:00:00Z,PT60M,-3.1,-80,0.0,-3.9,0,0,0,0,7.2,94.3,1.2,1002.8,121,1.8,117,0.21
2015-02-14T04:00:00Z,2015-02-14T03:00:00Z,PT60M,-3.2,-91,0.0,-3.9,0,0,0,0,7.1,94.9,1.2,1002.6,120,1.7,107,0.21
2015-02-14T05:00:00Z,2015-02-14T04:00:00Z,PT60M,-3.2,-102,0.0,-3.9,0,0,0,0,7.1,94.8,1.2,1002.5,120,1.6,97,0.21
2015-02-14T06:00:00Z,2015-02-14T05:00:00Z,PT60M,-3.2,-114,5.0,-3.9,18,31,3,21,7.0,94.7,1.2,1002.5,119,1.5,88,0.21
2015-02-14T07:00:00Z,2015-02-14T06:00:00Z,PT60M,-2.4,-125,36.3,-3.7,90,0,0,90,7.0,90.6,1.1,1002.4,124,1.5,79,0.21
2015-02-14T08:00:00Z,2015-02-14T07:00:00Z,PT60M,-0.9,-138,42.9,-3.4,157,0,0,157,7.1,83.1,1.1,1002.4,135,1.7,72,0.21
2015-02-14T09:00:00Z,2015-02-14T08:00:00Z,PT60M,0.6,-153,55.7,-3.0,173,0,0,173,7.1,76.3,1.1,1002.3,143,1.9,66,0.21
2015-02-14T10:00:00Z,2015-02-14T09:00:00Z,PT60M,0.8,-169,62.3,-3.2,171,0,0,171,7.0,74.6,1.1,1002.2,149,2.0,63,0.21
2015-02-14T11:00:00Z,2015-02-14T10:00:00Z,PT60M,-0.3,175,62.8,-3.7,173,0,0,173,7.0,77.5,1.1,1002.1,156,2.1,63,0.21
2015-02-14T12:00:00Z,2015-02-14T11:00:00Z,PT60M,-1.4,159,65.5,-4.3,147,0,0,147,6.9,80.5,1.1,1001.9,162,2.1,65,0.21
2015-02-14T13:00:00Z,2015-02-14T12:00:00Z,PT60M,-1.5,144,72.5,-4.1,92,0,0,92,6.9,82.4,1.1,1001.8,162,2.1,69,0.21
2015-02-14T14:00:00Z,2015-02-14T13:00:00Z,PT60M,-0.7,130,63.7,-3.2,73,0,0,73,6.8,83.2,1.1,1001.6,158,2.0,76,0.21
2015-02-14T15:00:00Z,2015-02-14T14:00:00Z,PT60M,0.1,118,22.7,-2.3,43,31,3,46,6.8,83.9,1.1,1001.5,152,1.8,84,0.21
2015-02-14T16:00:00Z,2015-02-14T15:00:00Z,PT60M,0.0,107,0.0,-2.1,1,2,0,1,6.8,85.6,1.1,1001.4,148,1.8,93,0.21
