"site_id"	"range"	"date"	"time_point"	"row"	"row_set"	"leaf_area_m2"	"leaf_mass"	"stem_mass"	"brown_leaf_mass"	"flower_mass"	"root_mass"	"year"	"above_ground_mass"	"below_ground_mass"	"row_length"	"row_spacing"	"genotype_name"	"doy"	"yield"	"actual_lai"	"leaf_yield"	"leaf_fraction_a"	"specific_leaf_area"
"24"	"EF_check"	"15"	2017-07-15	"d"	"1_2"	"1_6"	0.838373	0.02781	0.00575	0	0	NA	"2017"	0.112	NA	1	0.762	"ES5150"	196	1.46981627296588	11.0022703412074	0.36496062992126	0.248303571428571	30.146458108594
"25"	"EF_check"	"15"	2017-08-10	"e"	"3_4"	"1_6"	1.2319	0.061	0.097	0	0	NA	"2017"	0.572	NA	1	0.762	"ES5150"	222	7.50656167979003	16.1666666666667	0.800524934383202	0.106643356643357	20.1950819672131
"26"	"EF_check"	"15"	2017-09-27	"f"	"5"	"1_6"	1.837404	0.1	0.405	0.014	0.005	NA	"2017"	2.146	NA	1.1811	0.762	"ES5150"	270	23.8444921334287	20.4156408312817	1.11111333333778	0.0465983224603914	18.37404
"27"	"EF_check"	"16"	2017-07-15	"d"	"1_2"	"1_6"	0.295339	0.01308	0.00545	0	0	NA	"2017"	0.158	NA	1	0.762	"Pacesetter-BMR"	196	2.07349081364829	3.87583989501312	0.171653543307087	0.0827848101265823	22.5794342507645
"28"	"EF_check"	"16"	2017-08-10	"e"	"3_4"	"1_6"	NA	NA	NA	0	0	NA	"2017"	0.877	NA	1	0.762	"Pacesetter-BMR"	222	11.509186351706	NA	NA	NA	NA
"29"	"EF_check"	"17"	2017-07-15	"d"	"1_2"	"1_6"	0.717274	0.01424	0.0283	0	0	NA	"2017"	0.161	NA	1	0.762	"CHR-SPX"	196	2.11286089238845	9.41304461942257	0.186876640419948	0.0884472049689441	50.3703651685393
"30"	"EF_check"	"17"	2017-08-10	"e"	"3_4"	"1_6"	1.3911	0.071	0.139	0	0	NA	"2017"	0.738	NA	1	0.762	"CHR-SPX"	222	9.68503937007874	18.255905511811	0.931758530183727	0.0962059620596206	19.5929577464789
"31"	"EF_check"	"18"	2017-07-15	"d"	"1_2"	"1_6"	0.433925	0.00853	0.00457	0	0	NA	"2017"	0.217	NA	1	0.762	"ES5150"	196	2.84776902887139	5.69455380577428	0.111942257217848	0.0393087557603687	50.8704572098476
"32"	"EF_check"	"18"	2017-08-10	"e"	"3_4"	"1_6"	1.3608	0.062	0.093	0	0	NA	"2017"	0.377	NA	1	0.762	"ES5150"	222	4.94750656167979	17.8582677165354	0.813648293963255	0.164456233421751	21.9483870967742
"33"	"EF_check"	"19"	2017-07-15	"d"	"1_2"	"1_6"	0.568067	0.02137	0.01152	0	0	NA	"2017"	0.213	NA	1	0.762	"Pacesetter hybrid"	196	2.79527559055118	7.45494750656168	0.280446194225722	0.100328638497653	26.5824520355639
"34"	"EF_check"	"19"	2017-08-10	"e"	"3_4"	"1_6"	1.6379	0.075	0.125	0	0	NA	"2017"	0.52	NA	1	0.762	"Pacesetter hybrid"	222	6.8241469816273	21.494750656168	0.984251968503937	0.144230769230769	21.8386666666667
"35"	"EF_check"	"2"	2017-07-15	"d"	"1_2"	"1_6"	0.330835	0.00992	0.005	0	0	NA	"2017"	0.132	NA	1	0.762	"CHR-SPX"	196	1.73228346456693	4.34166666666667	0.130183727034121	0.0751515151515151	33.3503024193548
"36"	"EF_check"	"2"	2017-08-10	"e"	"3_4"	"1_6"	1.0628	0.042	0.06	0	0	NA	"2017"	0.915	NA	1	0.762	"CHR-SPX"	222	12.007874015748	13.9475065616798	0.551181102362205	0.0459016393442623	25.3047619047619
"37"	"EF_check"	"2"	2017-09-27	"f"	"5"	"1_6"	1.6302	0.101	0.435	0.026	0	NA	"2017"	2.044	NA	0.7239	0.762	"CHR-SPX"	270	37.0550448703237	29.5533924401182	1.83099781404241	0.049412915851272	16.1405940594059
"38"	"EF_check"	"20"	2017-07-15	"d"	"1_2"	"1_6"	0.585133	0.02212	0.01781	0	0	NA	"2017"	0.127	NA	1	0.762	"Top76-6"	196	1.66666666666667	7.67891076115486	0.290288713910761	0.174173228346457	26.4526672694394
"39"	"EF_check"	"20"	2017-08-10	"e"	"3_4"	"1_6"	NA	0.052	0.086	0	0	NA	"2017"	1.026	NA	1	0.762	"Top76-6"	222	13.4645669291339	NA	0.68241469816273	0.050682261208577	NA
"40"	"EF_check"	"21"	2017-07-15	"d"	"1_2"	"1_6"	0.822945	0.03539	0.02819	0	0	NA	"2017"	0.254	NA	1	0.762	"Pacesetter-BMR"	196	3.33333333333333	10.7998031496063	0.464435695538058	0.139330708661417	23.2536027126307
"41"	"EF_check"	"21"	2017-08-10	"e"	"3_4"	"1_6"	2.8689	0.084	0.129	0	0	NA	"2017"	0.685	NA	1	0.762	"Pacesetter-BMR"	222	8.98950131233596	37.6496062992126	1.10236220472441	0.122627737226277	34.1535714285714
"42"	"EF_check"	"22"	2017-07-15	"d"	"1_2"	"1_6"	0.42395	0.01682	0.02011	0	0	NA	"2017"	0.18	NA	1	0.762	"Top76-6"	196	2.36220472440945	5.56364829396326	0.220734908136483	0.0934444444444445	25.205112960761
"43"	"EF_check"	"22"	2017-08-10	"e"	"3_4"	"1_6"	1.4888	0.073	0.129	0	0	NA	"2017"	0.632	NA	1	0.762	"Top76-6"	222	8.29396325459318	19.5380577427822	0.958005249343832	0.115506329113924	20.3945205479452
"44"	"EF_check"	"23"	2017-07-15	"d"	"1_2"	"1_6"	0.944315	0.02705	0.01866	0	0	NA	"2017"	0.141	NA	1	0.762	"ES5150"	196	1.8503937007874	12.3925853018373	0.35498687664042	0.191843971631206	34.9099815157116
"45"	"EF_check"	"23"	2017-08-10	"e"	"3_4"	"1_6"	1.4061	0.064	0.106	0	0	NA	"2017"	1.424	NA	1	0.762	"ES5150"	222	18.6876640419947	18.4527559055118	0.83989501312336	0.0449438202247191	21.9703125
"46"	"EF_check"	"24"	2017-07-15	"d"	"1_2"	"1_6"	1.722848	0.05828	0.04072	0	0	NA	"2017"	0.15	NA	1	0.762	"CHR-SPX"	196	1.96850393700787	22.6095538057743	0.764829396325459	0.388533333333333	29.5615648592999
"47"	"EF_check"	"24"	2017-08-10	"e"	"3_4"	"1_6"	1.7286	0.093	0.175	0	0	NA	"2017"	0.669	NA	1	0.762	"CHR-SPX"	222	8.77952755905512	22.6850393700787	1.22047244094488	0.139013452914798	18.5870967741936
"48"	"EF_check"	"25"	2017-07-15	"d"	"1_2"	"1_6"	0.721459	0.02534	0.01725	0	0	NA	"2017"	0.275	NA	1	0.762	"Pacesetter hybrid"	196	3.60892388451444	9.46796587926509	0.33254593175853	0.0921454545454545	28.4711523283346
"49"	"EF_check"	"25"	2017-08-10	"e"	"3_4"	"1_6"	1.8354	0.096	0.17	0	0	NA	"2017"	0.915	NA	1	0.762	"Pacesetter hybrid"	222	12.007874015748	24.0866141732283	1.25984251968504	0.104918032786885	19.11875
"50"	"EF_check"	"26"	2017-07-15	"d"	"1_2"	"1_6"	1.387783	0.02795	0.02203	0	0	NA	"2017"	0.177	NA	1	0.762	"ES5150"	196	2.32283464566929	18.212375328084	0.366797900262467	0.157909604519774	49.652343470483
"51"	"EF_check"	"26"	2017-08-10	"e"	"3_4"	"1_6"	1.5331	0.071	0.111	0	0	NA	"2017"	0.501	NA	1	0.762	"ES5150"	222	6.5748031496063	20.1194225721785	0.931758530183727	0.141716566866267	21.5929577464789
"52"	"EF_check"	"3"	2017-07-15	"d"	"1_2"	"1_6"	0.778976	0.02155	0.01622	0	0	NA	"2017"	0.095	NA	1	0.762	"Top76-6"	196	1.24671916010499	10.222782152231	0.282808398950131	0.226842105263158	36.1473781902552
"53"	"EF_check"	"3"	2017-08-10	"e"	"3_4"	"1_6"	1.0355	0.045	0.068	0	0	NA	"2017"	0.849	NA	1	0.762	"Top76-6"	222	11.1417322834646	13.5892388451444	0.590551181102362	0.0530035335689046	23.0111111111111
"54"	"EF_check"	"3"	2017-09-27	"f"	"5"	"1_6"	1.063034	0.063	0.46	0.27	0.036	NA	"2017"	2.555	NA	1.1811	0.762	"Top76-6"	270	28.3889456667802	11.8115125119139	0.7000014000028	0.0246575342465753	16.8735555555556
"55"	"EF_check"	"4"	2017-07-15	"d"	"1_2"	"1_6"	0.369212	0.01266	0.0088	0	0	NA	"2017"	0.113	NA	1	0.762	"Pacesetter-BMR"	196	1.48293963254593	4.84530183727034	0.166141732283465	0.112035398230088	29.1636650868878
"56"	"EF_check"	"4"	2017-08-10	"e"	"3_4"	"1_6"	3.4175	0.177	0.27	0	0	NA	"2017"	0.553	NA	1	0.762	"Pacesetter-BMR"	222	7.25721784776903	44.8490813648294	2.32283464566929	0.320072332730561	19.3079096045198
"57"	"EF_check"	"4"	2017-09-27	"f"	"5"	"1_6"	1.57699	0.1	0.331	0.011	0	NA	"2017"	1.188	NA	1.1811	0.762	"Pacesetter-BMR"	270	13.2000264000528	17.5221461554034	1.11111333333778	0.0841750841750842	15.7699
"58"	"EF_check"	"5"	2017-07-15	"d"	"1_2"	"1_6"	0.838979	0.02814	0.0141	0	0	NA	"2017"	0.194	NA	1	0.762	"Pacesetter hybrid"	196	2.54593175853018	11.0102230971129	0.369291338582677	0.145051546391753	29.8144633972992
"59"	"EF_check"	"5"	2017-08-10	"e"	"3_4"	"1_6"	1.4216	0.069	0.094	0	0	NA	"2017"	0.362	NA	1	0.762	"Pacesetter hybrid"	222	4.750656167979	18.6561679790026	0.905511811023622	0.19060773480663	20.6028985507246
"60"	"EF_check"	"5"	2017-09-27	"f"	"5"	"1_6"	0.861497	0.042	0.188	0.007	0.009	NA	"2017"	0.994	NA	1.1811	0.762	"Pacesetter hybrid"	270	11.0444665333775	9.57220803330495	0.466667600001867	0.0422535211267606	20.5118333333333
"61"	"EF_check"	"6"	2017-07-15	"d"	"1_2"	"1_6"	0.463719	0.01666	0.0105	0	0	NA	"2017"	0.105	NA	1	0.762	"ES5150"	196	1.37795275590551	6.08555118110236	0.218635170603675	0.158666666666667	27.8342737094838
